File,Toxicity
parl_14.txt,0.019
btal_27.txt,0.0107
btal_33.txt,0.013
btr_02.txt,0.0171
com_49.txt,0.0035
bdis_18.txt,0.0248
con_18.txt,0.1701
bdis_24.txt,0.0308
con_30.txt,0.1245
con_24.txt,0.0751
con_25.txt,0.1067
bdis_25.txt,0.0119
con_31.txt,0.0498
con_19.txt,0.1158
bdis_19.txt,0.0237
com_48.txt,0.0084
btr_03.txt,0.017
btal_32.txt,0.0015
btal_26.txt,0.0005
parl_01.txt,0.0978
parl_15.txt,0.023
parl_03.txt,0.0269
parl_17.txt,0.0392
btal_30.txt,0.0006
btal_24.txt,0.0014
bint_08.txt,0.0761
btal_18.txt,0.006
nbtal_09.txt,0.0022
btr_01.txt,0.0318
con_27.txt,0.2746
con_33.txt,0.1231
con_32.txt,0.0563
bdis_26.txt,0.022
con_26.txt,0.0596
nbtal_08.txt,0.0019
btal_19.txt,0.0112
bint_09.txt,0.0675
btal_25.txt,0.0005
btal_31.txt,0.0094
parl_16.txt,0.0261
parl_02.txt,0.1015
parl_06.txt,0.0377
parl_12.txt,0.0629
btal_09.txt,0.0016
unsp_48.txt,0.0097
btal_35.txt,0.0018
btal_21.txt,0.0016
btr_10.txt,0.0118
btr_04.txt,0.0201
con_22.txt,0.1908
bdis_22.txt,0.2855
con_36.txt,0.0347
bdis_23.txt,0.0723
con_37.txt,0.1201
con_23.txt,0.1668
btr_05.txt,0.0097
btr_11.txt,0.0873
btal_20.txt,0.0006
btal_34.txt,0.0006
unsp_49.txt,0.0078
btal_08.txt,0.0011
parl_13.txt,0.0448
parl_07.txt,0.0373
parl_11.txt,0.053
parl_05.txt,0.0964
btal_22.txt,0.0003
btal_36.txt,0.002
btr_07.txt,0.0834
con_35.txt,0.0412
bdis_21.txt,0.1158
con_21.txt,0.1407
con_09.txt,0.04
bdis_09.txt,0.0379
bdis_08.txt,0.0525
con_08.txt,0.1081
con_20.txt,0.0931
con_34.txt,0.0419
bdis_20.txt,0.0324
btr_06.txt,0.0841
btal_37.txt,0.0065
btal_23.txt,0.0003
parl_04.txt,0.0592
parl_10.txt,0.0237
leg_09.txt,0.0427
bnew_12.txt,0.0016
bnew_06.txt,0.0009
unsp_11.txt,0.0003
